event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
771,2008-09-03,1220418000,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:35:48,1220438148,18:03:27,1220483007,0.07,,,,
5531,2013-09-16,1379257200,23.8,18.5,22.2,23.8,18.5,22.2,17.9,77.86,166.88,,12.5,,,,,62.9,274.2,1001.2,1.1,10.1,,,0.0,05:39:05,1379277545,18:02:22,1379322142,0.44,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['47631099999', '47750099999', '47616099999', '47761099999', '47632099999']"
721,2008-08-16,1218841200,15.5,12.0,13.9,15.5,12.0,13.9,12.1,89.39,45.69,,16.67,,,,,27.8,170.8,998.0,69.2,17.4,,,0.0,06:11:32,1218863492,20:53:19,1218916399,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['03971099999', '03969099999', '03967099999']"
4292,2012-03-30,1333090800,12.1,5.1,8.3,12.1,3.5,6.4,5.0,80.4,13.11,,58.33,,,,68.4,26.6,186.9,1005.0,62.0,14.1,,,0.0,06:26:07,1333113967,19:10:29,1333159829,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KGIC', '72578404109', 'KP69', '72687300452']"
2905,2010-12-28,1293447600,20.2,15.7,18.9,20.2,15.7,18.9,17.4,91.58,25.9,,25.0,,,,,53.6,181.3,1006.7,0.0,3.9,,,0.0,05:56:31,1293468991,20:49:06,1293522546,0.77,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,['93309099999']
5840,2014-02-04,1391472000,7.0,2.1,5.2,2.3,-1.5,0.4,3.6,89.63,11.24,,12.5,,,,95.3,56.4,179.3,991.7,52.8,17.5,,,0.0,07:44:49,1391499889,17:11:21,1391533881,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['03840099999', '03827099999', '03853099999', '03857099999', '03707099999', '03710099999']"
581,2008-06-10,1213027200,29.1,24.1,25.7,34.7,24.1,26.9,24.5,93.53,28.1,,25.0,,,,,9.4,159.2,1010.6,90.4,7.1,,,0.0,06:05:38,1213049138,17:56:25,1213091785,0.24,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['97182099999', '97180099999']"
8709,2012-01-19,1326960000,12.1,8.7,10.0,12.1,7.1,9.6,8.9,93.16,42.2,,95.83,,,,59.4,23.1,199.1,1002.6,99.0,9.9,,,0.0,07:45:23,1326987923,17:00:03,1327021203,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KHIO', 'KMMV', '72695994281', 'KUAO', '72688194273', '72698694261']"
565,2008-06-02,1212354000,22.1,13.1,16.9,22.1,13.1,16.9,12.7,77.57,0.3,,6.25,,,,,16.6,183.3,,72.2,13.2,,,0.0,06:30:36,1212377436,18:39:15,1212421155,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['63688099999', '63686099999']"
3481,2011-05-10,1304956800,17.9,16.6,17.2,17.9,16.6,17.2,16.7,97.4,47.98,,33.33,,,,,14.4,243.4,1007.3,70.4,3.0,,,0.0,05:29:20,1304976560,18:19:06,1305022746,0.23,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"['98325099999', '98328099999']"
