soil_texture_0,soil_texture_10,soil_texture_30,soil_texture_60,soil_texture_100,soil_texture_200
Lo,Lo,Lo,Lo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
Lo,Lo,Lo,Lo,Lo,Lo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,SaLo
Lo,Lo,Lo,SaLo,SaLo,SaLo
,,,,,
Lo,Lo,Lo,Lo,Lo,Lo
Lo,Lo,Lo,Lo,Lo,Lo
Lo,Lo,Lo,Lo,Lo,Lo
Lo,Lo,Lo,SaLo,SaLo,SaLo
Lo,Lo,Lo,Lo,Lo,SaLo
Lo,Lo,Lo,Lo,Lo,Lo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
SaClLo,SaCl,ClLo,Cl,Cl,Cl
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
SaClLo,SaClLo,SaClLo,SaClLo,SaClLo,SaClLo
ClLo,ClLo,ClLo,Cl,Cl,ClLo
SaClLo,SaClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
Lo,Lo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,ClLo,SaClLo,SaClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
ClLo,ClLo,ClLo,ClLo,ClLo,ClLo
Lo,Lo,Lo,Lo,Lo,Lo
SaClLo,SaClLo,SaClLo,SaClLo,SaClLo,SaClLo
Lo,ClLo,ClLo,ClLo,ClLo,ClLo
