event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
2090,2010-07-16,1279217700,24.1,23.0,23.5,24.1,23.0,23.6,,,0.0,,0.0,,,,,5.4,130.0,,95.0,8.0,,,0.0,05:18:51,1279236831,19:03:18,1279286298,0.14,Overcast,Cloudy skies throughout the day.,cloudy,"['44454099999', 'VNKT']"
8663,2012-03-10,1331366400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,06:28:28,1331389708,18:09:28,1331431768,0.53,,,,
446,2008-02-05,1202187600,15.7,11.7,13.1,15.7,11.7,13.1,11.7,91.43,24.95,,62.5,,,,63.0,24.3,198.9,1011.9,94.7,12.7,,,0.0,07:25:03,1202214303,17:42:36,1202251356,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72520514762', '72520094823', '72511704827']"
3610,2011-06-14,1307989800,27.9,23.9,25.4,33.2,23.9,26.1,24.2,93.38,37.02,,62.5,,,,,14.9,142.3,1008.2,99.7,3.2,,,0.0,06:03:03,1308011583,19:05:44,1308058544,0.49,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['43192099999', '43198099999']"
9346,2016-05-14,1463176800,14.6,8.8,11.5,14.6,8.8,11.5,9.8,89.15,9.08,,79.17,,,,32.6,13.1,175.3,1009.7,0.4,2.0,,,0.0,05:56:06,1463198166,20:58:12,1463252292,0.28,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['06632099999', '06635099999', '06606099999', '06628099999', '06631099999', '06636099999']"
5269,2013-08-04,1375554600,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,04:39:28,1375571368,17:56:13,1375619173,0.98,,,,
904,2008-11-24,1227502800,28.1,20.1,23.9,29.7,20.1,24.2,19.3,76.46,0.0,,0.0,,,,,22.3,214.1,,83.0,10.9,,,0.0,05:53:06,1227523986,17:50:24,1227567024,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['80259099999']
5486,2013-09-09,1378702800,24.7,18.1,20.1,24.7,18.1,20.1,18.5,91.37,59.17,,62.5,,,,,7.2,122.9,1013.0,9.0,5.3,,,0.0,07:14:42,1378728882,19:35:46,1378773346,0.09,Rain,Clear conditions throughout the day with rain.,rain,"['76687099999', '76738099999']"
7349,2015-10-26,1445799600,12.1,9.6,10.8,12.1,9.6,10.8,7.7,82.3,44.0,,80.0,,,,,3.6,270.0,,88.0,5.2,,,0.0,06:19:25,1445822365,17:17:27,1445861847,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['41536099999']
7236,2015-07-18,1437202800,25.1,14.2,18.9,25.1,14.2,18.9,5.1,47.77,10.57,,50.0,,0.0,0.0,50.1,27.6,166.6,1014.8,50.7,13.3,,,0.0,05:55:18,1437224118,20:07:59,1437275279,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KTSP', '74917100479', 'KSDB', 'KWJF', '72381603159', '72383023187']"
