event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
609,2008-06-25,1214332200,30.1,22.4,25.2,32.2,22.4,25.8,21.1,79.22,0.0,,0.0,,,,,22.3,207.5,1007.4,70.0,3.8,,,0.0,06:02:10,1214353930,18:49:39,1214399979,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['43321099999']
8517,2012-12-19,1355904000,7.7,2.9,5.2,3.8,-1.2,1.1,2.5,82.84,42.07,,100.0,,,,67.4,43.6,150.3,1006.6,99.8,13.8,,,0.0,07:52:08,1355932328,16:29:34,1355963374,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72683604201', 'KKLS', 'KAST', 'KSPB', '72791094224', '72792424223']"
5054,2013-07-07,1373135400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:23:12,1373154792,19:30:54,1373205654,1.0,,,,
4317,2012-04-08,1333818000,31.1,25.2,27.1,36.2,25.2,28.3,23.8,83.33,2.0,,12.5,,,,,24.1,154.3,1010.4,78.8,9.5,,,0.0,05:45:13,1333838713,17:44:45,1333881885,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,['96797099999']
3646,2011-06-24,1308850200,25.5,24.1,24.9,25.5,24.1,24.9,23.2,90.77,35.3,,75.0,,,,,6.7,289.6,1001.2,96.4,7.5,,,0.0,05:25:35,1308869735,18:32:30,1308916950,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['48387099999', '48375099999']"
2151,2010-07-27,1280160000,23.1,16.6,19.4,23.1,16.6,19.4,17.3,88.46,0.6,,28.57,,,,,8.8,230.9,1004.2,57.5,12.6,,,0.0,06:26:05,1280183165,20:04:44,1280232284,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['56385099999', '56287099999']"
2342,2010-08-26,1282770000,27.0,22.7,24.6,28.3,22.7,24.7,19.7,73.97,20.86,,12.5,,,,,32.9,219.5,1010.2,84.7,11.7,,,0.0,05:37:44,1282790264,19:00:20,1282838420,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['17038099999', '17042099999', 'LTCG']"
8494,2013-01-19,1358582400,13.8,1.1,5.8,13.8,1.1,5.7,4.5,92.86,0.0,,0.0,,,,,5.8,221.6,1024.0,2.7,12.5,,,0.0,07:40:59,1358610059,17:15:41,1358644541,0.28,Clear,Clear conditions throughout the day.,clear-day,"['KBOK', 'KCEC', '72594624286', '72598524267']"
8057,2015-12-17,1450339200,12.0,7.9,11.2,12.0,4.9,10.9,11.0,98.62,52.94,,100.0,,0.0,0.0,79.4,58.7,190.1,,96.1,5.1,,,0.0,07:46:55,1450367215,16:37:40,1450399060,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KCVO', 'KONP', '99999904236', '72694524202', '72695024285']"
8311,2014-03-31,1396249200,12.9,5.3,8.8,12.9,3.0,7.9,4.2,74.06,1.3,,8.33,,,,35.3,14.7,161.1,1008.5,36.8,15.7,,,0.0,06:56:39,1396274199,19:42:47,1396320167,0.0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"['KAST', 'KKLS', 'KTMK', '72791094224', '99401199999', '72792424223']"
3429,2011-04-27,1303833600,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:58:10,1303855090,17:58:54,1303898334,0.87,,,,
7130,2015-04-19,1429416000,20.8,11.9,15.3,20.8,11.9,15.3,3.0,46.72,6.31,,33.33,,0.0,0.0,51.3,32.3,92.0,1014.2,47.3,15.3,,,0.0,06:35:20,1429439720,20:01:33,1429488093,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KAGC', 'KPIT', '72520514762', 'KAFJ', '72520094823', '72511704827']"
3783,2011-07-15,1310684400,18.8,10.2,14.7,18.8,10.2,14.7,10.9,78.89,0.75,,8.33,,,,,15.0,204.3,1010.5,60.2,21.1,,,0.0,04:39:04,1310701144,22:04:38,1310763878,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['03068099999', '03059099999', '03062099999', '03066099999', '03063099999', '03031099999']"
3898,2011-08-08,1312740000,28.0,25.1,26.2,32.7,25.1,26.9,24.8,92.04,73.5,,22.22,,,,,22.3,122.6,1002.3,97.2,4.2,,,0.0,05:25:39,1312759539,18:27:46,1312806466,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['41966099999', '41978099999', 'VGEG', '41989099999']"
1809,2010-05-02,1272776400,23.5,19.2,21.5,23.5,19.2,21.5,19.9,90.9,173.27,,62.5,,,,60.9,27.6,194.1,1005.7,97.9,11.2,,,0.0,05:53:41,1272797621,19:35:22,1272846922,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72327013897', 'KBNA', 'KMQY', '72327313827']"
