0,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,description,days,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,datetime,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,icon,stations,source
1,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,00:00:00,1634144400,80.5,87.9,94.27,78.7,,,,,,,10.3,240.0,1005.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
2,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,01:00:00,1634148000,80.5,87.9,94.27,78.7,,,,,,,9.2,230.0,1004.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
3,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,02:00:00,1634151600,80.5,87.9,94.27,78.7,,,,,,,9.2,220.0,1004.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
4,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,03:00:00,1634155200,80.5,87.9,94.27,78.7,,,,,,,9.2,230.0,1004.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
5,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,04:00:00,1634158800,80.5,87.9,94.27,78.7,,,,,,,8.1,240.0,1004.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
6,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,05:00:00,1634162400,80.5,87.9,94.27,78.7,,,,,,,6.9,230.0,1005.0,6.2,50.0,,,0.0,Partially cloudy,partly-cloudy-night,['VVTS'],obs,
7,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,06:00:00,1634166000,80.5,87.9,94.27,78.7,,,,,,,6.9,230.0,1006.0,6.2,88.0,,,0.0,Partially cloudy,partly-cloudy-day,['VVTS'],obs,
8,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,07:00:00,1634169600,82.3,92.1,88.91,78.7,,,,,,,8.1,220.0,1006.0,6.2,88.0,,,0.0,Partially cloudy,partly-cloudy-day,['VVTS'],obs,
9,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,08:00:00,1634173200,82.8,90.9,80.0,76.0,0.02,95.1,0.0,0.0,,18.8,11.2,231.6,1007.0,15.0,100.0,371.0,1.3,4.0,30.0,"Rain, Overcast",rain,,fcst
10,1,10.762622,106.660172,"10.762622,106.660172","10.762622,106.660172",Asia/Ho_Chi_Minh,7.0,Similar temperatures continuing with a chance of rain multiple days.,2021-10-14,1634144400,86.3,76.0,81.1,96.8,76.0,87.3,76.7,86.8,0.38,100.0,,['rain'],0.0,0.0,21.5,13.2,228.8,1005.1,86.4,9.8,348.5,20.0,7.0,60.0,05:42:11,1634164931,17:36:27,1634207787,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,['VVTS'],comb,09:00:00,1634176800,85.2,94.7,73.8,76.0,0.0,95.1,0.0,0.0,,17.9,12.3,241.0,1007.0,15.0,100.0,473.0,1.7,5.0,30.0,"Rain, Overcast",rain,,fcst
